xai,rows,participants,mean boundary distance new,median boundary distance new,mean boundary distance change (new - original),success rate,target-directed rate,mean normalized edit distance,mean target confidence gain
counterfactual,540,27,0.1275865894137086,0.101791996796,0.004709043815407017,0.4740740740740741,0.7481481481481481,0.5222476868402062,0.45832578410530495
attribution,320,16,0.11680481899322766,0.0990275522042,-0.0060727266050884686,0.5375,0.825,0.4607197265717253,0.5278311067858895
none,380,19,0.13732402774556962,0.102822055988,0.014446482147261077,0.5473684210526316,0.8131578947368421,0.5489133379435729,0.5271325089232473
