participant,domain,xai,testing cases,memory variant,model family,k,attention rate,xai weight,specificity,alpha,rho,beta,memory decay,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_1TZbMIIo6RtFnsb,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,1.0,0.0,6.0,nan,0.05,0.0,nan,0,0.2174285602462295,0.6645634199429835,0.09942054043544249,0.9333333333333332,0.9248033766709607,0.236105035104171,0.6258987418284712,0.09810881203681313,0.9833333333333332,1.1620551616890213,0
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,1.0,0.0,6.0,1.0,0.15,nan,0.0,1,0.25693401260922666,0.6528059918788869,0.16667401709734014,0.925,1.1096698576497286,0.259850015167623,0.6528059918788869,0.17250602221413291,0.925,1.1096698576497286,1
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.25,0.0,2.0,nan,0.0,0.0,2.0,1,0.4009219473340753,0.4669889025407287,0.2688327972088792,0.5916666666666666,3.0731643937938817,0.43208555856904346,0.4164365032728753,0.28060762041096227,0.6041666666666666,3.4211206672828647,0
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,1.0,0.0,2.0,1.0,0.1,nan,nan,1,0.2290155658690415,0.6757185952622915,0.1337497270003743,0.95,1.0353591428226971,0.2290155658690415,0.6757185952622913,0.13374972700037432,0.95,1.0353591428226974,1
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.1,0.0,nan,1,0.40523547515228325,0.4537726642544381,0.26424361455900447,0.625,3.0976420599626984,0.4174574853989828,0.4537726642544381,0.2886876350524036,0.6249999999999998,3.0976420599626975,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,1.0,1.0,2.0,1.0,0.0,nan,2.0,0,0.23570893097110898,0.6712895594873542,0.14270742142957232,0.675,1.0129222223624161,0.28703054196121897,0.5692122375551095,0.14327332147754737,0.625,1.6533718643258084,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,0.0,2.0,0,0.22970002663461425,0.6813433017735975,0.14074335504282595,0.7208333333333332,0.936491543935435,0.23102600634381326,0.6746736238982745,0.13672563658590095,0.7208333333333333,0.9502631962880871,1
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,nan,0,0.29384835655034586,0.575,0.16269671310069167,0.7083333333333333,1.230675021328362,0.29385324477843,0.5677183071461691,0.15542479670302903,0.7083333333333333,1.431426442596004,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,0.0,nan,0,0.22712987413488928,0.6737712160191467,0.12803096428892538,0.7291666666666666,1.0605382671386607,0.22712987413488928,0.6737712160191468,0.1280309642889254,0.7291666666666666,1.0605382671386607,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,4.0,0,0.32944507936887285,0.5125,0.17139015873774574,0.8083333333333332,1.7714862138226468,0.3431288108350592,0.4840804976716611,0.17033811934177948,0.8083333333333332,2.1316760358642037,0
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.5,0.0,6.0,nan,0.1,0.5,1.0,0,0.24342184655117194,0.6160727434197188,0.10291643652206284,0.8833333333333332,1.6107363009967852,0.24622561037213458,0.6042475427825998,0.09669876352686903,0.9083333333333332,1.7025589823136915,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,1.0,0.0,6.0,0.0,0.0,nan,nan,0,0.22258006273061284,0.6737386540157904,0.11889877947701606,0.975,1.2115399508313582,0.22271639460486686,0.6535351244239836,0.09896791363371742,1.0,1.2964803137083953,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.5,1.0,6.0,nan,0.1,0.5,nan,0,0.2502351115048679,0.607513926590602,0.10798414960033771,0.8833333333333332,1.637746557718581,0.25782779397870526,0.6028327995229568,0.11848838748036727,0.8833333333333332,1.6644011362499285,0
R_1myAGA2v3gStUIS,diabetes,attribution,20,memory variation,feature contribution,observed per instance,1.0,1.0,0.0,1.0,0.15,nan,2.0,1,0.39914012249048114,0.4736142986432105,0.2718945436241727,0.675,2.232322714324749,0.41405116539725106,0.4269828420206652,0.25508517281516746,0.7,2.4149489183061474,1
R_1myAGA2v3gStUIS,diabetes,attribution,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.2,0.0,0.0,1,0.35045987402754936,0.43173753273534443,0.1326572807904431,0.95,2.5616568130583666,0.3645263785857333,0.4151400420417352,0.14419279921320183,0.925,2.6999294869987,0
R_1myAGA2v3gStUIS,diabetes,attribution,20,perfect memory,feature contribution,observed per instance,0.25,1.0,0.0,0.5,0.2,nan,nan,1,0.32070898768284195,0.4874354232628078,0.1288533986284917,1.0,2.065523592701116,0.333011690426543,0.4770882256856316,0.14311160653871743,0.975,2.1552441468839687,1
R_1myAGA2v3gStUIS,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.2,0.0,nan,1,0.35045987402754936,0.43173753273534443,0.1326572807904431,0.95,2.5616568130583666,0.35383262967109175,0.4317375327353443,0.13940279207752787,0.95,2.561656813058367,0
R_1vbS8BCLvmrwGHr,diabetes,attribution,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,2.0,0,0.38290093269262054,0.425,0.1908018653852411,0.8083333333333332,1.629573425984789,0.3904009326926206,0.425,0.2058018653852411,0.8083333333333332,1.6295734259847894,0
R_1vbS8BCLvmrwGHr,diabetes,attribution,20,memory variation,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.0,0.0,4.0,0,0.2508097275545768,0.6109345724120538,0.11255402752120758,0.8833333333333332,1.1714867232496171,0.2552610291541921,0.6020357213459104,0.11255777965429466,0.8833333333333332,1.209511406024825,1
