participant,domain,xai,testing cases,memory variant,model family,k,attention rate,xai weight,specificity,alpha,rho,beta,memory decay,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_5gkJQXcSCkjRBmu,diabetes,none,20,perfect memory,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.15,0.0,nan,0,0.21419099963822336,0.6681051242511954,0.09648712352764208,0.95,1.1378424254246968,0.21873738189387648,0.6681051242511954,0.10557988803894829,0.95,1.1378424254246968,0
R_5tEkygPCjFKzz2T,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,1.0,0.5,6.0,1.0,0.0,nan,4.0,1,0.25233654656096877,0.5911146229580727,0.09578771608001016,0.85,2.038799507191586,0.2555603829935261,0.5911146229580728,0.10223538894512507,0.85,2.0387995071915865,0
R_5tEkygPCjFKzz2T,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.25,0.5,6.0,nan,0.05,1.0,0.0,1,0.23230610145110625,0.6182366438861899,0.0828488467884025,0.95,1.8862777574424292,0.23828969200328665,0.6089774961367411,0.08555688014331427,0.95,1.947528298605824,1
R_5tEkygPCjFKzz2T,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,0.5,0.5,6.0,1.0,0.05,nan,nan,1,0.24847146227873687,0.5939740227613932,0.09091694731886721,1.0,1.942307392743642,0.2567915501998819,0.5739281126664985,0.08751121306626226,1.0,2.138403342113316,0
R_5tEkygPCjFKzz2T,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.25,1.0,6.0,nan,0.05,1.0,nan,1,0.23132378020956743,0.6201393769003467,0.08278693731948153,0.95,1.8827086307902814,0.24187082545216348,0.6095335585021664,0.0932752094064933,0.95,1.9534711292469016,1
R_61hCu6g2tcWoJo7,diabetes,attribution,20,memory variation,feature contribution,observed per instance,1.0,1.0,6.0,1.0,0.1,nan,4.0,0,0.3703945421204905,0.5432025849280874,0.2839916691690682,0.725,1.4300392034632805,0.39666767219217813,0.48460995432399684,0.27794529870835316,0.7249999999999999,1.6114027316227002,0
R_61hCu6g2tcWoJo7,diabetes,attribution,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.05,0.0,2.0,0,0.27374366556759455,0.5888265593866422,0.13631389052183138,0.9166666666666666,1.271090837039975,0.28859857041148584,0.570615423445489,0.1478125642684608,0.9166666666666666,1.373120762643624,1
R_61hCu6g2tcWoJo7,diabetes,attribution,20,perfect memory,feature contribution,observed per instance,1.0,0.5,6.0,0.5,0.15,nan,nan,0,0.254593472000889,0.589992113497809,0.09917905749958694,1.0,1.1899298319144278,0.2749977034728433,0.5760898658860143,0.1260852728317009,1.0,1.3063312031106225,1
R_61hCu6g2tcWoJo7,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,0.25,1.0,6.0,nan,0.15,0.0,nan,0,0.30206631742229345,0.5555143858227044,0.15964702066729136,0.9083333333333332,1.4231412529640963,0.3088422698228695,0.5459470879864872,0.16363162763222627,0.9083333333333332,1.4594735692793672,0
R_6DD4Hjc7DAhjrhU,diabetes,attribution,20,memory variation,feature contribution,observed per instance,1.0,1.0,6.0,0.0,0.15,nan,4.0,0,0.2893245645509236,0.6020344287455768,0.1806835578474241,0.9125,1.128822393191316,0.2911086758986824,0.6020344287455768,0.1842517805429417,0.9125,1.128822393191316,1
R_6DD4Hjc7DAhjrhU,diabetes,attribution,20,memory variation,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.15,0.0,2.0,0,0.3005625422140753,0.5510555645689921,0.15218064899714284,0.875,1.4010675645096171,0.3199895281610144,0.5153094597184117,0.1552885160404404,0.875,1.6535214635801374,0
R_6DD4Hjc7DAhjrhU,diabetes,attribution,20,perfect memory,feature contribution,observed per instance,1.0,1.0,6.0,0.0,0.2,nan,nan,0,0.20716353998002085,0.7075616485820715,0.12188872854211319,0.9125,0.8557448498682341,0.20867414859207084,0.7075616485820715,0.12490994576621317,0.9125,0.8557448498682341,1
R_6DD4Hjc7DAhjrhU,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,1.0,0.5,2.0,nan,0.15,0.0,nan,0,0.32593575424293325,0.5019003797446677,0.15377188823053414,0.9,1.7423892365080917,0.3345110642590089,0.48336923948616245,0.15239136800418018,0.9,1.864518009648697,0
R_6I5GvkY1dba6Sm6,diabetes,none,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.15,nan,0.0,1,0.36541011943143487,0.5700000000000001,0.3008202388628696,0.7083333333333333,2.1292982978540587,0.36540589779193583,0.585,0.3158117955838716,0.725,3.2438923855970723,1
R_6I5GvkY1dba6Sm6,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.15,0.0,4.0,1,0.2872691344933307,0.6055945699458521,0.18013283893251358,0.925,2.4123264179321393,0.28337967802905756,0.628397536460308,0.19515689251842322,0.925,3.4124133656471876,0
R_6I5GvkY1dba6Sm6,diabetes,none,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.25,nan,nan,1,0.28762014364128446,0.5700000000000001,0.14524028728256885,0.9833333333333334,2.1292982978540587,0.28066636196548933,0.5970978260251115,0.15843054995609024,0.9833333333333332,3.1888730191456096,1
R_6I5GvkY1dba6Sm6,diabetes,none,20,perfect memory,weighted examples,observed per instance,1.0,0.0,2.0,nan,0.15,0.0,nan,0,0.24204462031471824,0.7297587148114448,0.21384795544088128,0.8583333333333332,2.526632960810844,0.29930212016802316,0.6235406571137256,0.2221448974497718,0.8583333333333334,3.5900949401359723,0
R_6KDvslaxG4W04I9,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,0.25,1.0,0.0,1.0,0.0,nan,4.0,0,0.366880826743729,0.6515516991347721,0.38531335262223004,0.475,1.0047030500861298,0.366880826743729,0.6515516991347721,0.38531335262223,0.475,1.0047030500861298,1
R_6KDvslaxG4W04I9,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,1.0,1.0,2.0,nan,0.0,1.0,0.0,0,0.4108402336992157,0.5805680227268535,0.4022484901252848,0.5,1.2676494937063327,0.4108402336992157,0.5805680227268535,0.40224849012528485,0.5,1.2676494937063327,0
R_6KDvslaxG4W04I9,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,0.25,0.5,2.0,1.0,0.2,nan,nan,0,0.4145119865379187,0.5960314109541538,0.4250553840299912,0.5,1.0333370960056105,0.42621105214616195,0.5960314109541539,0.4484535152464778,0.5,1.0333370960056105,1
R_6KDvslaxG4W04I9,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,1.0,nan,0,0.40810351696892183,0.5995631144836057,0.4157701484214494,0.5,1.3088887688477835,0.4188998576159847,0.5867397133445048,0.42453942857647425,0.5,1.3405263480419904,0
R_6upJU84Jtf3Faf5,diabetes,none,20,memory variation,feature contribution,observed per instance,1.0,0.0,6.0,0.0,0.0,nan,4.0,1,0.2718012231506513,0.6078409129946644,0.15144335929596678,0.975,1.0425061689292097,0.27845617797977484,0.5927046092529246,0.14961696521247414,0.975,1.0670257256306936,0
R_6upJU84Jtf3Faf5,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,2.0,nan,0.0,0.0,0.0,1,0.25332816522243834,0.6082381334162122,0.1148944638610889,0.975,1.0491927774553285,0.2543514592771876,0.6046559691119266,0.11335888766630198,0.975,1.0575471260385338,1
R_6upJU84Jtf3Faf5,diabetes,none,20,perfect memory,feature contribution,observed per instance,1.0,0.0,6.0,0.0,0.0,nan,nan,1,0.26056319357710334,0.6242178543262158,0.14534424148042244,1.0,0.9974151908192612,0.2686421241536004,0.6068412412459254,0.1441254895531262,1.0,1.034492408348309,1
R_6upJU84Jtf3Faf5,diabetes,none,20,perfect memory,weighted examples,observed per instance,0.25,0.0,2.0,nan,0.0,0.0,nan,1,0.2533759477153056,0.6082212497863086,0.1149731452169199,0.975,1.0488152056007434,0.25437599895480917,0.6047256071124274,0.11347760502204562,0.975,1.056976841253442,0
R_771uyV9h8uinmh3,diabetes,attribution,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,4.0,0,0.49893019075193806,0.25,0.24786038150387615,0.8,1.3862943611198906,0.507749790732114,0.23224969438632406,0.2477492758505521,0.8,1.6246687483787183,0
R_771uyV9h8uinmh3,diabetes,attribution,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.05,0.0,0.0,0,0.32276546104026477,0.4616099904295929,0.10714091251012252,1.0,1.067646511588939,0.3227654610402648,0.4616099904295929,0.10714091251012255,1.0,1.067646511588939,1
R_771uyV9h8uinmh3,diabetes,attribution,20,perfect memory,feature contribution,observed per instance,0.25,0.5,0.0,0.0,0.05,nan,nan,0,0.3786460096770897,0.49151356186729406,0.2488055812214735,1.0,0.8486101212992757,0.39866945312195373,0.47798871796294096,0.27532762420684836,1.0,0.8935284405952906,1
R_771uyV9h8uinmh3,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.05,0.0,nan,0,0.32276546104026477,0.4616099904295929,0.10714091251012252,1.0,1.067646511588939,0.3227654610402648,0.4616099904295929,0.10714091251012255,1.0,1.067646511588939,0
R_7DtIw0Gr58M4CAa,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,1.0,1.0,6.0,1.0,0.0,nan,0.0,0,0.27773649990729943,0.6713659630477308,0.2268389628623296,0.5333333333333333,1.384919035000476,0.28921436133180717,0.6491805044013914,0.22760922706500572,0.5333333333333333,1.575929713544037,1
R_7DtIw0Gr58M4CAa,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,1.0,0.0,0,0.25274337646907574,0.7051742773471354,0.21066103028528707,0.5333333333333333,1.6874929362764253,0.29775759639921884,0.5989480458752097,0.19446323867364734,0.4833333333333333,2.085037700217947,0
R_7DtIw0Gr58M4CAa,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,nan,0,0.31423318532364386,0.6375,0.26596637064728773,0.5333333333333333,1.398072664685529,0.31423318532364386,0.6375,0.2659663706472877,0.5333333333333333,1.398072664685529,1
R_7DtIw0Gr58M4CAa,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,1.0,nan,0,0.25274337646907574,0.7051742773471354,0.21066103028528707,0.5333333333333333,1.6874929362764253,0.28871071653184144,0.6134088013213865,0.19083023438506935,0.5666666666666667,2.065718975003814,0
R_7IXNpixLXSjItSq,diabetes,none,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,4.0,1,0.4904566294656747,0.21000000000000005,0.19091325893134936,0.875,1.6440952714620973,0.4904566294656746,0.21000000000000002,0.19091325893134942,0.875,1.6440952714620978,1
R_7IXNpixLXSjItSq,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.0,0.0,4.0,1,0.4603818381671253,0.2569634556447234,0.177727131978974,0.85,1.8168052161236297,0.46341837195231717,0.24441318227516176,0.17124992617979634,0.85,1.8748619083004683,0
R_7IXNpixLXSjItSq,diabetes,none,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.05,nan,nan,1,0.5125675247485502,0.21000000000000005,0.23513504949710035,0.95,1.6440952714620973,0.5175675247485503,0.21000000000000002,0.24513504949710024,0.95,1.6440952714620978,1
R_7IXNpixLXSjItSq,diabetes,none,20,perfect memory,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.0,0.0,nan,1,0.46158061761121233,0.2375626459188757,0.16072388114130037,0.85,1.9873700770011902,0.46158061761121233,0.23756264591887571,0.16072388114130035,0.85,1.9873700770011902,0
R_7L78tZJ3cQDgpFH,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,0.0,1,0.3448088906145033,0.77,0.4596177812290067,0.2725,1.1736069016284438,0.34846445122934255,0.7613262558389498,0.45825515829763497,0.27249999999999996,1.3856515841896289,0
R_7L78tZJ3cQDgpFH,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,1.0,2.0,1,0.35685222336781164,0.7517567713249986,0.4654612180606218,0.12333333333333334,1.1997434718969013,0.3596120044205522,0.7427083829768675,0.46193239181797197,0.12333333333333334,1.2746528143568956,1
R_7L78tZJ3cQDgpFH,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,nan,1,0.37951305112440353,0.77,0.529026102248807,0.1625,1.1736069016284438,0.38439042434379445,0.7631206010988445,0.5319014497864333,0.1625,1.3739483709745275,0
R_7L78tZJ3cQDgpFH,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,1.0,nan,1,0.35333267049120887,0.75779105170051,0.4644563926829277,0.12333333333333334,1.201755344382433,0.35333267049120887,0.75779105170051,0.4644563926829277,0.12333333333333334,1.2017553443824327,1
R_7MBioYOD8gq6nT3,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,1.0,1.0,6.0,1.0,0.0,nan,4.0,1,0.4807447856253718,0.30917772787084247,0.2706672991215863,0.4833333333333333,1.4962151559110284,0.48074478562537193,0.30917772787084247,0.2706672991215863,0.4833333333333333,1.4962151559110286,1
R_7MBioYOD8gq6nT3,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,1.0,4.0,1,0.4273998697731076,0.3380097223675745,0.19280946191378984,0.45,1.4616814326375966,0.4235229651973335,0.34576353151912276,0.19280946191378984,0.45,2.673262111884531,0
R_7MBioYOD8gq6nT3,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,1.0,1.0,6.0,1.0,0.0,nan,nan,1,0.3972968531675686,0.44904660066429125,0.24364030699942835,0.5,1.2515433354953889,0.41143017619604627,0.4564009899708565,0.27926134236294897,0.5,2.460280617449321,1
R_7MBioYOD8gq6nT3,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.25,1.0,2.0,nan,0.0,1.0,nan,1,0.48634465305485675,0.21415341222885953,0.186842718338573,0.45,1.9232664275093174,0.4746693380474357,0.21259004269173648,0.161928718786608,0.6,3.160716544639043,0
R_7PsMTUjq8Wa1btt,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,0.5,1.0,0.0,0.5,0.05,nan,4.0,1,0.2448369552670362,0.6113647148496392,0.10103862538371151,1.0,1.6237747163229888,0.25163361344275603,0.5970615493953039,0.10032877628081593,1.0,1.759691311604606,1
R_7PsMTUjq8Wa1btt,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,0.0,4.0,1,0.30425083129062325,0.564844069056236,0.17334573163748257,0.6791666666666666,2.0995066746432967,0.3094840098222632,0.5383156707320202,0.1572836903765467,0.7041666666666666,2.351251256789445,0
R_7PsMTUjq8Wa1btt,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,0.5,1.0,0.0,0.5,0.1,nan,nan,1,0.23483869264702678,0.6174518691213275,0.08712925441538108,1.0,1.530452604980144,0.24343601269771264,0.6074938948920005,0.09436592028742569,1.0,1.6043925210042425,1
R_7PsMTUjq8Wa1btt,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.1,0.5,nan,1,0.2765913005808045,0.5672165225078036,0.12039912366941272,0.8416666666666666,2.067837688529004,0.2765913005808045,0.5672165225078036,0.12039912366941272,0.8416666666666666,2.067837688529004,0
R_7xWlSJ5Zdqog9gt,diabetes,none,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,4.0,0,0.26970253699735813,0.7875,0.32690507399471624,0.5958333333333333,0.8925963828881589,0.2691158239184575,0.7903336151852806,0.32856526302219563,0.5625,1.0892118620535407,1
R_7xWlSJ5Zdqog9gt,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.0,0.0,4.0,0,0.2661905368814729,0.7522397157550065,0.28462078951795233,0.6041666666666667,1.2989999531716707,0.2661905368814729,0.7522397157550065,0.28462078951795233,0.6041666666666666,1.2989999531716705,0
R_7xWlSJ5Zdqog9gt,diabetes,none,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,nan,0,0.30366015564638305,0.7875,0.3948203112927662,0.5916666666666667,0.8925963828881589,0.3061085391712508,0.7875,0.39971707834250153,0.5916666666666667,0.8925963828881589,1
R_7xWlSJ5Zdqog9gt,diabetes,none,20,perfect memory,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.0,0.0,nan,0,0.2769012474792938,0.7440829473165177,0.2978854422751052,0.6583333333333333,1.5381615456129598,0.27690124747929373,0.7440829473165177,0.2978854422751052,0.6583333333333333,1.5381615456129598,0
