xai,participants,near_exact_n,near_exact_rate,strong_threshold_like_n,strong_threshold_like_rate,median_threshold_cv_mae,mean_threshold_cv_mae,median_fixed_delta_cv_mae,median_relative_gain,median_within_005,median_threshold_slope,median_target_specific_advantage
attribution,16,0,0.0,4,0.25,0.08216402528835469,0.08795147725439115,0.10153093658333334,0.10044805768928775,0.41640866873065013,0.35184722730574886,0.030514262434984507
counterfactual,20,0,0.0,4,0.2,0.08232289817375,0.09654568695022729,0.12661113815509611,0.25880577354302214,0.43961352657004826,0.2682513309993644,0.02528330577987751
none,16,0,0.0,5,0.3125,0.07158029462432433,0.08680315985858869,0.1144972602799437,0.3234212721374594,0.42358803986710963,0.2715532518444487,0.023722271775462954
