target label,xai,participants,median_threshold_cv_mae,mean_threshold_cv_mae,median_fixed_delta_cv_mae,median_relative_gain,median_within_005
Diabetes,attribution,16,0.07668116061875002,0.09544786606019254,0.09115377938493588,0.04557029046232304,0.4642857142857143
Diabetes,counterfactual,20,0.0939619256225,0.10615966490560343,0.11829270497063493,0.21310646198419875,0.36071428571428577
Diabetes,none,16,0.08607075160705742,0.10075696511022333,0.10595846717884613,0.27243234818886486,0.3722943722943723
No Diabetes,attribution,16,0.07889106162500001,0.07914045289208539,0.11095097218250001,0.19322854477314833,0.4
No Diabetes,counterfactual,20,0.06842861786351541,0.08817789901329984,0.12892903625070806,0.3554260943171297,0.4735449735449735
No Diabetes,none,16,0.06676417164008928,0.07185735190492007,0.1269495761132353,0.4256887352937457,0.4928571428571429
